instance,n,m,nk,mk,offset,tred
fe_body-uniform.graph,45087,163734,0,0,1680182,317.912860
fe_pwt-uniform.graph,36519,144794,8868,39232,732940,2804.257352
fe_rotor-uniform.graph,99617,662431,88377,568194,35353,3616.230710
osm_alabama-AM3.graph,3504,309664,0,0,185744,7.365786
osm_california-AM3.graph,587,27536,327,16290,32191,3615.939639
osm_district-of-columbia-AM2.graph,13597,1609795,1142,150126,175828,554.462040
osm_district-of-columbia-AM3.graph,46221,27729137,23687,13631400,109291,3607.682854
osm_florida-AM3.graph,2985,154043,0,0,237333,0.690622
osm_georgia-AM3.graph,1680,74126,0,0,222652,60.516750
osm_greenland-AM3.graph,4986,3652361,3115,2064291,5211,780.014383
osm_hawaii-AM3.graph,28006,49444921,20939,35858776,100291,3619.408467
osm_idaho-AM3.graph,4064,3924080,2834,2261042,69820,230.910788
osm_kansas-AM3.graph,2732,806912,639,76002,83878,3664.214235
osm_kentucky-AM3.graph,19095,59533630,15545,53451091,92450,3653.661750
osm_massachusetts-AM3.graph,3703,551491,1557,335966,133150,337.064081
osm_mexico-AM3.graph,1096,47131,0,0,97663,0.854227
osm_montana-AM3.graph,837,69293,0,0,59822,5.398839
osm_new-york-AM3.graph,837,88728,401,28533,9783,3708.660763
osm_north-carolina-AM3.graph,1557,236739,0,0,49720,14.080869
osm_oregon-AM3.graph,5588,2912701,2934,1774335,163772,392.816037
osm_rhode-island-AM2.graph,2866,295488,0,0,184596,0.244513
osm_rhode-island-AM3.graph,15124,12622219,11787,11113933,137392,2842.803888
osm_vermont-AM3.graph,3436,1136164,1708,409654,49779,243.823158
osm_virginia-AM3.graph,6185,665903,1746,231977,273819,482.130007
osm_washington-AM3.graph,10022,2346213,5819,1766225,260758,1186.456492
osm_west-virginia-AM3.graph,1185,125620,0,0,47927,2322.887364
snap_as-skitter-uniform.graph,1696415,11095298,5428,41676,123840400,3522.393498
snap_loc-gowalla_edges.graph,196591,950327,486,2653,12246778,3786.519531
snap_soc-LiveJournal1-uniform.graph,4847571,42851237,1372,11182,283961562,5302.441975
snap_soc-pokec-relationships-uniform.graph,1632803,22301964,963686,11160706,36968639,3805.199939
snap_web-NotreDame-uniform.graph,325729,1090108,0,0,26016941,299.053428
ssmc_fl2010.graph,484481,1173147,1668,5768,8683558,138.714139
